last milk,AI bull no ISR,last SCC,AI type,not for AI,exp. Calving,at milk,preg,lact no,status,barach,group,group name,cull date,enter way,breed,MGS,sex,cow name,tag color,no.tag plasic,no tag ,burn no,government no,sire,se number,computer no,cow no,computer mom,avg milk last 10 days,avg milkig time in last 10 days,brd milk kg,brd fat kg,brd prot kg,brd fat pre,brd prot pre,brd SCC,brd ECM,udder,ati,legs,brd milk mom,brd fat kg mom,brd prot mom,brd fat pre mom,brd prot pre mom,brd SCC mom,brd ecm mom,brd tpi mom,brd udder mom,brd legs mom,brd milk sire,brd fat kg sire,brd prot kg sire,brd fat pre sire,brd prot pre sire,brd SCC sire,brd ecm sire,brd tpi sire,brd udder sire,brd legs sire,brd dau fertilty,brd still birth,brd calvig easy,birth date,exit way,exit erson,exiy weight,price per kg,exit price,bayer,calving date,dry date,last dhi date,no dhi ater calving,pl milk kg,last AI date,pl Fat kg,pl prot kg,pl kaktuz_miz,adjust milk kg,adjust fat kg,adjust prot kg,mom se,mom name,DMI,days in preg,bayer name,byaer farm nmae,days after AI,days till next calving,days till dry,enter whight,wining wheight,growth rate,growth rate total,days after dry,BCS date after calvig ,total wight,BCS pick milk date,BCS pick milk,BCS dry date,BCS dry,BCS half dry date,BCS half dry,avg milk,avg ecm,wested days AI,open days,rest days,SCC calc1,ECM total at lact,ecm according the heard,no of milking by day,last DHI date,last heating date,last abortion,adjust ecm,edjust ecm prev lact,adjust prot kg prev lact,adjust milk prev lact,adjust fat kg prev lact,DIM prev lact,mate 1,inseminator name,highet,exp milk kg 305,exp fat kg 305,exp ecm 305,exp prot kg ,match bull,exp exm 305 ?,age by month,adjust ecm,feed lot,days till dry,rep,AI time,fat pre DHI,prot pre DHI,supply,pl prot pre,efect preg date,pl milk,highet date,last calving days in dry,for cull,pl fat pre,preg,PGS,date molk day,last calvig date,fat/prot,last milk1,?,last whight,last wheight date,enter date,enter last date,days in last group,?,last se,birth month,whight1,whight2,whight3,whight4,whight5,whight6,whight7,whight8,whight rate 1,whight rate 2,whight rate 3,whight rate 4,whight rate 5,whight rate 6,whight rate 7,whight rate 8,whight date 1,whight date 2,whight date 3,whight date 4,whight date 5,whight date 6,whight date 7,whight date 8,date pick milk,kg at pick,bying price,?,last vet ,last vet diagnosis,sorting,vac date ,vac drug,last gov no,age in 1 lact,persistence 1,persistence 1,no live bull,live bulld fate,colestrom value1,colestrom value2,refractometers value,remark,last AI date
,,,,0,,0,0,0,0,2,92,עגלות*,02/01/2004,1,4,3304,2,,,,,,,4930,-351,552,-351,324697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/01/2004,4,80,40,,,1,02/01/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,02/01/2004,,,,,,02/01/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,11/01/2004,1,1,3652,2,,,,,1231,,3651,1231,553,1231,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/01/2004,3,15,,,,1,06/01/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,06/01/2004,,,,,,06/01/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
50.1,5445,380,2,0,,1,0,4,0,3,1,חולבות,19/02/2010,1,1,3921,2,,,,,1246,,3851,1246,594,1246,276,21.5,2,93,1.3,5.3,-0.02,0.02,-0.07,39,102,55,100,,,,,,,,,,,,,,,,,,,,,,-0.52,-0.605,03/06/2004,4,30,,,,1,20/10/2009,,17/01/2010,2,6189.4,1,310.3,192.4,0,12508.1,501.4,393.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6894,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12768,68.4,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,20/10/2009,,,,40,03/06/2004,,,,,,03/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,01/02/2010
,,,,0,,0,0,0,0,2,92,עגלות*,06/06/2004,1,1,3652,2,,,,,1247,,7098,1247,595,1247,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/06/2004,3,17,,,,1,04/06/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,04/06/2004,,,,,,04/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,17/03/2005,1,1,3733,2,,,,,1248,,5293,1248,596,1248,286697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2004,4,58,,,,1,17/06/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,9,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,17/06/2004,,,,,,17/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,29/06/2004,1,1,3651,2,,,,,-380,,3811,-380,599,-380,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/06/2004,4,81,40,,,1,29/06/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0,,0,,,00:00,,,,,,,04/12/2014,,0,,תאומה לזכר -לא להזרעה,,04/12/2014,,,,,40,29/06/2004,,,,,,29/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
27.4,,49,,1,,1,0,2,0,3,1,חולבות,29/01/2008,1,1,5179,2,,,,,1249,,3811,1249,601,1249,355697081,14.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2004,4,60,,,,1,28/04/2007,,28/01/2008,9,7499.1,0,316.8,300.9,0,8848.2,372.2,344.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,8980,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9616,42.8,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,28/04/2007,,,,40,03/07/2004,,,,,,03/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,16/09/2004,1,1,5179,2,,,,,1250,,3811,1250,602,1250,355697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/07/2004,4,17,,,,1,03/07/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,2.5,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,03/07/2004,,,,,,03/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
25.6,7422,29,2,1,,1,0,2,0,3,1,חולבות,25/09/2007,1,1,3923,2,,,,,1251,,7129,1251,603,1251,119,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2004,4,61,,,,1,18/05/2007,,24/09/2007,5,3813.8,1,151.7,131.9,0,9376.3,347.8,311.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4110,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9017,38.6,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,18/05/2007,,,,40,05/07/2004,,,,,,05/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,26/07/2007
23.6,,187,,0,,1,0,2,0,3,1,חולבות,20/11/2007,1,1,3651,2,,,,,1252,,3851,1252,604,1252,274,13.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/07/2004,4,61,,,,1,04/08/2007,,30/10/2007,3,3579.7,0,134.3,110.3,0,9133.9,340.1,290.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3546,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8830,40.3,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,04/08/2007,,,,40,08/07/2004,,,,,,08/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
31,,81,,1,,1,0,3,0,3,1,חולבות,01/02/2009,1,1,3652,2,,,,,1253,,3908,1253,605,1253,104,18.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/07/2004,4,60,,,,1,15/11/2008,,19/01/2009,3,2437.3,0,110.1,83.8,0,7948.6,314.7,260.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,2741,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8584,54.7,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,15/11/2008,,,,40,09/07/2004,,,,,,09/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,1,0,2,0,3,1,חולבות,24/03/2008,1,1,3651,2,,,,,1254,,7190,1254,606,1254,131,23.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2004,3,15,,,,1,15/03/2008,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,44.4,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,15/03/2008,,,,40,10/07/2004,,,,,,10/07/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
34.6,5447,128,2,1,,1,0,2,0,3,1,חולבות,06/09/2009,1,4,3304,2,,,,,1282,,4938,1282,669,1282,317697081,11.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/11/2004,4,60,,,,1,02/08/2008,,12/07/2009,12,17188.1,5,622.3,555.5,0,14503.3,521,458.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,17264,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,14066,57.8,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,02/08/2008,,,,40,09/11/2004,,,,,,09/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,07/03/2009
28.5,,163,,1,,1,0,4,0,3,1,חולבות,04/10/2011,1,1,3684,2,,,,,1283,,3651,1283,670,1283,328,12.7,1,378,13.1,7.6,-0.03,-0.03,-0.12,333,105,425,101,,,,,,,,,,,,,,,,,,,,,,-0.19,0.845,10/11/2004,4,62,,,,1,23/05/2010,,05/09/2011,8,22599.1,0,795,668.6,0,16285.1,583.1,475.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,21403,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,15177,82.6,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,23/05/2010,,,,40,10/11/2004,,,,,,10/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
12.1,,39,,0,,1,0,1,0,3,1,חולבות,21/11/2006,1,4,3833,2,,,,,1284,,4943,1284,673,1284,172,6.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2004,4,30,,,,1,22/10/2006,,20/11/2006,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,22/10/2006,,,,40,13/11/2004,,,,,,13/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
27.3,4812,376,2,1,,1,0,1,0,3,1,חולבות,20/09/2007,1,1,5241,2,,,,,1285,,3851,1285,674,1285,379,12.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/11/2004,4,99,,,,1,21/10/2006,,21/08/2007,11,9822.9,2,348.7,311.3,0,11060.8,382,338.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9693,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9099,34,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,21/10/2006,,,,40,16/11/2004,,,,,,16/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,25/03/2007
27.3,5584,332,2,1,,1,0,3,0,3,1,חולבות,04/11/2009,1,4,3304,2,,,,,1286,,4924,1286,676,1286,306697081,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/2004,4,41,,,,1,26/10/2008,,23/09/2009,10,13973.4,1,503.4,471.3,0,12408.1,430.2,407.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,14355,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12433,59.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,26/10/2008,,,,40,25/11/2004,,,,,,25/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,16/01/2009
,,,,0,,0,0,0,0,2,92,עגלות*,28/11/2004,1,4,3304,2,,,,,1287,,4937,1287,677,1287,347697081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/11/2004,3,72,,,,1,25/11/2004,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,25/11/2004,,,,,,25/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
28.8,,327,,1,,1,0,4,0,3,1,חולבות,12/04/2011,1,1,3744,2,,,,,1288,,3908,1288,679,1288,362,15.6,1,-310,-0.4,-3.9,0.09,0.05,0.1,-92,98,-122,99,,,,,,,,,,,,,,,,,,,,,,0.5,2.24,25/11/2004,4,67,,,,1,31/07/2010,,08/03/2011,4,9524.3,0,398.7,329.9,0,11047.8,449.2,378.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,10458,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11777,76.4,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,31/07/2010,,,,40,25/11/2004,,,,,,25/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
30.5,5589,284,2,1,,1,0,2,0,3,1,חולבות,02/11/2009,1,1,3376,2,,,,,1318,,3881,1318,755,1318,290697081,9.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/05/2005,4,41,,,,1,12/08/2008,,23/09/2009,13,16338.9,2,649.5,570,0,12578.3,479.6,428.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,17688,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12784,53,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,12/08/2008,,,,40,30/05/2005,,,,,,30/05/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,31/12/2008
35.3,5595,7394,2,1,,1,0,3,0,3,1,חולבות,08/10/2009,1,1,5276,2,,,,,1319,,3961,1319,756,1319,443,14.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/05/2005,4,68,,,,1,10/05/2009,,23/09/2009,4,5837.6,1,214,194.5,0,11044.9,401,366.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5990,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10903,52.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,10/05/2009,,,,40,31/05/2005,,,,,,31/05/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,23/07/2009
31.5,5535,1104,2,1,,1,0,3,0,3,1,חולבות,09/03/2010,1,1,3731,2,,,,,1320,,3758,1320,759,1320,447,14.5,1,-158,1.9,-0.2,0.07,0.04,0.05,10,100,7,99,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.355,14/06/2005,4,60,,,,1,19/09/2009,,17/01/2010,3,5271.9,2,199.8,193.1,0,8970.3,319.3,314.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5776,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9628,56.7,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,19/09/2009,,,,40,14/06/2005,,,,,,14/06/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,07/01/2010
,,,,0,,0,0,0,0,2,92,עגלות*,20/06/2005,1,1,3661,2,,,,,1321,,3811,1321,760,1321,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/06/2005,3,99,,,,1,14/06/2005,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0.2,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,14/06/2005,,,,,,14/06/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
32.8,5591,119,2,1,,1,0,2,0,3,1,חולבות,05/01/2009,1,1,7049,2,,,,,1322,,3904,1322,762,1322,428,16.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/06/2005,4,60,,,,1,15/05/2008,,20/12/2008,8,8659.9,4,336.1,288.9,0,11738.8,448.5,384.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9068,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11101,42.6,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,15/05/2008,,,,40,17/06/2005,,,,,,17/06/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,01/11/2008
,,,,0,,1,0,5,0,3,1,חולבות,01/08/2011,1,1,3258,2,,,,,1323,,3803,1323,767,1323,223697081,3.3,2,273,-12.5,3.8,-0.19,-0.04,0.07,43,93,19,97,,,,,,,,,,,,,,,,,,,,,,-0.87,-1.175,29/06/2005,4,53,,,,1,14/07/2011,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,72.9,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,14/07/2011,,,,40,29/06/2005,,,,,,29/06/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
,,,,0,,0,0,0,0,2,92,עגלות*,06/07/2005,1,1,3885,2,,,,,-473,,7184,-473,770,-473,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/07/2005,13,60,40,,,1,06/07/2005,,,,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,0,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,,,,,40,06/07/2005,,,,,,06/07/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
19.1,5591,554,2,0,,1,0,2,0,3,1,חולבות,17/03/2009,1,4,3921,2,,,,,1324,,4937,1324,772,1324,276,7.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/07/2005,4,41,,,,1,17/06/2008,,19/02/2009,9,8734.8,2,302.5,307.2,0,10477.1,358.7,356.8,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9079,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9969,44.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,17/06/2008,,,,40,11/07/2005,,,,,,11/07/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,27/09/2008
,,,,0,,1,0,4,0,3,1,חולבות,18/10/2010,1,1,3826,2,,,,,1345,,7209,1345,819,1345,325,7.7,1,-43,-3.8,4.7,-0.02,0.05,0.02,130,102,213,107,,,,,,,,,,,,,,,,,,,,,,-0.195,1.92,23/10/2005,4,77,,,,1,29/09/2010,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,59.7,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,29/09/2010,,,,40,23/10/2005,,,,,,23/10/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
30.7,4966,116,2,1,,1,0,1,0,3,1,חולבות,01/12/2008,1,1,3733,2,,,,,1346,,7218,1346,820,1346,286697081,14.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2005,4,60,,,,1,27/10/2007,,24/11/2008,13,14827.7,3,503.3,455.7,0,14166.4,468.7,413.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,14168,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11293,37.1,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,27/10/2007,,,,40,25/10/2005,,,,,,25/10/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,08/08/2008
,7149,,2,0,20/04/2008,0,1,0,0,2,7,עגלות  בוגרות,17/03/2008,1,1,5232,2,,,,,1347,,3811,1347,828,1347,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/2005,4,60,,,,1,04/11/2005,,,,0,3,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,28.3,,0,,,00:00,,,,,18/07/2007,,04/12/2014,,0,,,,04/12/2014,,,,,40,04/11/2005,,,,,,04/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,18/07/2007
18.7,,68,,0,,1,0,1,0,3,1,חולבות,25/11/2007,1,1,3795,2,,,,,1348,,7225,1348,829,1348,312,9.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/11/2005,4,61,,,,1,13/10/2007,,30/10/2007,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,24.6,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,13/10/2007,,,,40,04/11/2005,,,,,,04/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,
45.6,5456,83,2,0,,1,0,4,0,3,1,חולבות,24/10/2011,1,1,3652,2,,,,,1349,,7225,1349,831,1349,108,45.4,2,-44,14.1,7.7,0.14,0.08,-0.05,301,106,405,103,,,,,,,,,,,,,,,,,,,,,,0.335,0.25,08/11/2005,4,71,,,,1,30/07/2011,,05/09/2011,1,0,1,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,71.3,,0,,,00:00,,,,,,,04/12/2014,,0,,,,04/12/2014,30/07/2011,,,,40,08/11/2005,,,,,,08/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,21/10/2011
36,5412,108,2,0,03/11/2009,0,1,2,0,3,2,יבשות,23/09/2009,1,1,7037,2,,,,,1350,,3908,1350,838,1350,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/11/2005,3,15,,,,1,11/11/2008,31/08/2009,12/07/2009,9,11883.9,1,436.3,389.2,0,12786.1,453.4,406.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,12083,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12130,46,,0,,,00:00,,,,,30/01/2009,,04/12/2014,,0,,,,04/12/2014,11/11/2008,,,,40,19/11/2005,,,,,,19/11/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,,30/01/2009
