r_last_halav,mispar_par_mazria,r_last_somatim,r_sug_last_hazraa,ri_hafsakat_hazraa,r_trc_hamlata_zfuy,ri_holevet,ri_hara,r_tahluva,c_status_bakar,c_shluha,c_kvuza,r_teur_kvuza,r_trc_yezia,c_knisa,c_geza,mispar_av_em,c_min,r_shem,c_zeva,r_otomati,r_kvia,r_ozen,c_par,mispar_par,k_zhy_unique,k_zhy_movil,c_em_unique,r_memuza_halav_yomi,r_memuza_halivot,r_ag_kg_halav,r_ag_kg_shuman,r_ag_kg_helbon,r_ag_ahuz_shuman,r_ag_ahuz_helbon,r_ag_ahuz_rts,r_ag_kg_hamam,r_calc_tpi,r_reglaim,ag_kg_halav_m,ag_kg_shuman_m,ag_kg_helbon_m,ag_ahuz_shuman_m,ag_ahuz_helbon_m,ag_ahuz_rts_m,ag_kg_hamam_m,r_calc_tpi_m,r_atin_klali_m,r_reglaim_m,ag_kg_halav_f,ag_kg_shuman_f,ag_kg_helbon_f,ag_ahuz_shuman_f,ag_ahuz_helbon_f,ag_ahuz_rts_f,ag_kg_hamam_f,r_calc_tpi_f,r_atin_klali_f,r_reglaim_f,comp_ag_brd_frt_f,r_horasha_tmotat_vladot,r_horasha_hamlata_k,r_atin_klali,r_trc_lida,c_ofen_yezia,c_siba,r_mishkal,r_mehir_kg,r_mehir_bakar,c_lakoah,r_trc_hatchala,r_trc_ybush,r_bikoret_ahron,r_bikoret,chalav_miz,azraa_aharon,suman_miz,chelbon_miz,lkaktuz_miz,chalav_metukan,suman_metukan,helbon_metukan,comp_se_em,comp_shem_em,comp_yamim_batchluva,comp_yemey_herayon,comp_shem_kone,comp_meshek_kodem,comp_yamim_mehazraa,comp_yamim_lehamlata,comp_yamim_leyebush,comp_mishkal_knisa,comp_mishkal_gmila,,comp_mishkal_leyom,comp_yamim_beyebush,comp_date_tzyun_hamlata,comp_derug_hamlata,comp_date_tzyun_chalav,comp_derug_si_halav,comp_date_tzyun_yoves,comp_derug_yovesh,comp_date_tzyun_emza_yoves,comp_derug_emza,comp_halav_yomi,comp_hamam_yomi,comp_srak,comp_rik,comp_menucha,comp_somatim_1,chamam_mitztaber,hefres_eder,halivot_aharon,chamam_bikoret_achrona,comp_date_drisha,comp_date_hapala,hmm_mtukan,copm_hmm_mtukan_befor,copm_helbon_mtukan_befor,copm_halav_mtukan_befor,copm_shuman_mtukan_befor,copm_ymei_heryon_befor,r_match_par_1,shem_mazriaa,comp_gova,comp_halav_p,comp_shuman_p,comp_hamam_p,comp_helbon_p,comp_match_par,r_hmm_muarah,comp_gil_bechodashim,comp_hmm_mtukan,c_pitum,date_comp_yamim_leyebush,comp_ashnot,shaa_mazriaa,comp_shuman_bikoert,comp_helbun_bikoert,comp_sapak,comp_avg_helbon_all_life,r_trc_hafraia,comp_tnuvat_haim,comp_trc_gova,comp_yebush_befor,r_ind_suman_leyezia,comp_avg_shuman_all_life,r_heara,comp_av_hhav,comp_trc_halav_yomi,comp_hamlata_haharon,comp_shuman_per_helbun_bikoert,comp_last_halav1,comp_null_integer,comp_mishkal,comp_date_mishkal,r_trc_knisa,r_trc_last_knisa,comp_shehut_kvuza,comp_null_dec,comp_eder_kodem,comp_month_lida,skila1,skila2,skila3,skila4,skila5,skila6,skila7,skila8,tami_skila1,tami_skila2,tami_skila3,tami_skila4,tami_skila5,tami_skila6,tami_skila7,tami_skila8,trc_skila1,trc_skila2,trc_skila3,trc_skila4,trc_skila5,trc_skila6,trc_skila7,trc_skila8,comp_peak,comp_peak_yamim,comp_mehir_knia,comp_yamim_hlv_kodem,comp_trc_avhana,comp_avhana,ext_sort_selected,comp_trc_hisun,comp_hisun,comp_ozen_old,ext_gil_hamlata1,ext_hatmada_h,ext_hatmada_p,comp_par_harbaa,comp_trc_par_harbaa,comp_erch_colostrum_1,comp_erch_colostrum_2,comp_erch_refractometers,comp_bne_bakar_remarks
,5445,,2,1,,0,0,0,0,2,7,עגלות  בוגרות,09/05/2010,1,1,3758,2,,,,1532,,5567,5567,1047,1532,759,,,154,-6.6,7,-0.1,0.02,0.04,78,115,101,,,,,,,,,,,,,,,,,,,,,,0.045,0.373,103,24/08/2008,4,69,,,,1,24/08/2008,,,0,0,5,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,20.4,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,,,,,40,24/08/2008,,,,,,01/08/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
18.7,5409,71,2,1,,1,0,1,0,3,1,חולבות,23/03/2011,1,1,7218,2,,,,1533,,5567,5567,1048,1533,803,4.7,1,-325,-32.8,-7.3,-0.19,0.02,-0.23,-433,-438,106,,,,,,,,,,,,,,,,,,,,,,0.29,0.165,111,25/08/2008,4,61,,,,1,02/08/2010,,08/03/2011,4,5348.6,2,164,172.4,0,8394.3,265.9,269.4,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5086,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,7021,30.8,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,02/08/2010,,,,40,25/08/2008,,,,,,01/08/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
32.9,5467,54,2,0,01/09/2015,1,1,3,1,3,1,חולבות,,1,4,3908,2,,,4323464,1560,,7168,7168,1076,1560,842,22.7,2,282,5.7,11.4,-0.04,0.02,0.05,320,369,100,,,,,,,,,,,,,,,,,,,,,,-0.46,0.325,99,30/11/2008,,,,,,,04/03/2014,,15/12/2014,4,8851.5,6,369,289,0,11009.1,445.5,371.5,,        ,435,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9398,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12214,77.2,,0,,,00:00,,,,,28/11/2014,,13/05/2015,,0,,,,13/05/2015,04/03/2014,,,,40,30/11/2008,,,,,,01/11/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,5462,,2,0,,1,0,5,1,3,1,חולבות,,1,4,5412,2,,,812014,1561,,7181,7181,1077,1561,930,41.8,2,-180,-17.8,-5.6,-0.1,0,0.06,-184,-185,99,,,,,,,,,,,,,,,,,,,,,,-0.37,1.32,108,07/12/2008,,,,,,,25/12/2014,,,0,0,1,0,0,0,0,0,0,,        ,139,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,77,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,25/12/2014,,,,40,07/12/2008,,,,,,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,,,,0,,0,0,0,0,2,6,עגלות 9-12,03/12/2009,1,4,5534,2,,,,1562,,5431,5431,1078,1562,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/12/2008,4,60,,,,1,14/12/2008,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,11.6,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,,,,,40,14/12/2008,,,,,,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,5467,,2,0,,1,0,5,1,3,1,חולבות,,1,1,3826,2,,,4050501,1563,,5578,5578,1079,1563,325,2.4,2,-205,-12.4,-0.6,-0.04,0.05,0.12,-148,-52,109,,,,,,,,,,,,,,,,,,,,,,1.235,3.088,110,17/12/2008,,,,,,,01/01/2015,,,,0,1,0,0,0,0,0,0,,        ,132,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,76.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,01/01/2015,,,,40,17/12/2008,,,,,,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
36.4,,20,,0,,1,0,2,0,3,1,חולבות,30/01/2012,1,4,7207,2,,,,1564,,5431,5431,1080,1564,939,17.8,1,-730,-32,-16.6,-0.06,0.06,0.09,-730,-880,100,,,,,,,,,,,,,,,,,,,,,,0.19,1.32,102,28/12/2008,4,99,,,,1,19/11/2011,,02/01/2012,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,37,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,19/11/2011,,,,40,28/12/2008,,,,,,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
25.1,5457,256,2,1,,1,0,2,0,3,1,חולבות,11/10/2012,1,4,5247,2,,,,1565,,4966,4966,1081,1565,505,13.9,1,-519,-34.5,-10.6,-0.15,0.05,-0.08,-477,-522,119,,,,,,,,,,,,,,,,,,,,,,0.888,1.415,95,28/12/2008,4,41,,,,1,16/01/2012,,10/10/2012,5,10118.5,1,301.4,329.9,0,11075.2,331.1,357.7,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9603,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,10551,45.3,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,16/01/2012,,,,40,28/12/2008,,,,,,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,,,,0,,0,0,0,0,2,4,יונקיה,11/02/2009,1,4,3811,2,,,,1566,,5584,5584,1082,1566,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2009,3,16,,,,1,08/01/2009,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,1.1,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,,,,,40,08/01/2009,,,,,,01/01/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
29.1,5659,71,2,0,,1,0,2,0,3,1,חולבות,28/11/2012,1,4,3908,2,,,,1567,8930527,5434,5434,1083,1567,680,9.3,1,17,-3.5,-2.5,-0.04,-0.03,0.23,-161,-236,96,,,,,,,,,,,,,,,,,,,,,,0.065,1.87,95,16/01/2009,4,30,,,,1,30/05/2012,,13/11/2012,4,6061.9,2,246.7,179.9,0,9837.1,390.6,303,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,6065,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9869,46.3,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,30/05/2012,,,,40,16/01/2009,,,,,,01/01/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
47.9,5462,62,2,0,28/08/2015,1,1,4,1,3,1,חולבות,,1,4,4938,2,,,4328729,1575,,5584,5584,1091,1575,870,32.5,2,477,12.9,10.2,-0.03,-0.04,-0.15,340,506,113,,,,,,,,,,,,,,,,,,,,,,-0.015,1.97,111,07/03/2009,,,,,,,30/08/2014,,15/12/2014,1,0,1,0,0,0,0,0,0,,        ,256,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,74,,0,,,00:00,,,,,24/11/2014,,13/05/2015,,0,,,,13/05/2015,30/08/2014,,,,40,07/03/2009,,,,,,01/03/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,,,,1,,0,0,0,0,2,6,עגלות 9-12,19/02/2010,1,1,3811,2,,,,1576,,5591,5591,1092,1576,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2009,4,60,,,,1,11/03/2009,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,11.3,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,,,,,40,11/03/2009,,,,,,01/03/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
32.6,5459,137,2,1,,1,0,2,0,3,1,חולבות,16/12/2012,1,4,4938,2,,,,1577,,5591,5591,1094,1577,953,11.1,1,289,-3.5,5.3,-0.12,-0.03,0.13,9,52,107,,,,,,,,,,,,,,,,,,,,,,-0.205,0.815,104,25/03/2009,4,90,,,,1,09/03/2012,,13/11/2012,5,11571.4,7,421.1,367.7,0,12381.1,455.1,386.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,11533,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,12167,44.7,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,09/03/2012,,,,40,25/03/2009,,,,,,01/03/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,,,,1,,1,0,2,0,3,1,חולבות,03/04/2012,1,4,3859,2,,,,1578,,5430,5430,1095,1578,543,27.5,2,-417,-19.6,-9.4,-0.04,0.03,-0.03,-383,-461,102,,,,,,,,,,,,,,,,,,,,,,0.465,1.593,99,02/04/2009,4,60,,,,1,09/03/2012,,,0,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,36,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,09/03/2012,,,,40,02/04/2009,,,,,,01/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
38.9,5476,,2,0,07/12/2015,1,1,4,1,3,1,חולבות,,1,1,3811,2,,,4323451,1579,,5591,5591,1096,1579,575,45.2,2,331,-5.1,6.4,-0.14,-0.03,0.14,86,124,103,,,,,,,,,,,,,,,,,,,,,,-0.56,0.37,102,07/04/2009,,,,,,,17/11/2014,,15/12/2014,0,0,1,0,0,0,0,0,0,,        ,177,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,73,,0,,,00:00,,,,,05/03/2015,,13/05/2015,,0,,,,13/05/2015,17/11/2014,,,,40,07/04/2009,,,,,,01/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
32.2,5464,32,2,0,11/06/2015,0,1,3,1,3,2,יבשות,,1,4,5409,2,,,4321640,1580,,5542,5542,1097,1580,955,,,145,5.2,6.2,-0.03,0.01,0.08,98,175,105,,,,,,,,,,,,,,,,,,,,,,-0.215,0.28,109,11/04/2009,,,,,,,27/12/2013,21/04/2015,15/12/2014,5,15843.4,5,610.8,527.9,0,12402.2,470.1,405.2,,        ,502,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,16540,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,13817,72.9,,0,,,00:00,,,,,07/09/2014,,13/05/2015,,0,,,,13/05/2015,27/12/2013,,,,40,11/04/2009,,,,,,01/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
11.9,5462,7560,2,0,,1,0,2,0,3,1,חולבות,20/03/2013,1,4,4940,2,,,,1581,,5591,5591,1098,1581,723,6.1,1,616,4.4,10.7,-0.14,-0.07,0.15,235,323,110,,,,,,,,,,,,,,,,,,,,,,-0.25,0.265,101,12/04/2009,4,30,,,,1,09/04/2012,,12/03/2013,8,13359.7,5,447.1,410,0,12919.5,427.6,379.8,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,12695,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,11857,47.1,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,09/04/2012,,,,40,12/04/2009,,,,,,01/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
32.3,,952,,0,,1,0,6,0,3,93,חולבות*,12/02/1999,60,1,,2,,,,404,,2154,2154,3697081,404,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/1987,4,30,,,,9999999,04/08/1998,,17/01/1999,6,6054.8,0,183.7,184.7,0,9173.7,288.3,286.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,5556,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8624,141.9,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,04/08/1998,,,,,,,,,,,01/04/1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
39,,216,,0,,1,0,5,0,3,93,חולבות*,12/04/1998,1,1,,2,,,,544,,,,4697081,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/1988,1,99,,,,9999999,04/01/1998,,22/03/1998,3,3549.5,0,118.4,107.9,0,8900,287.4,280.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3351,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,8722,123.1,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,04/01/1998,,,,,,,,,,,01/01/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
21.3,,793,,0,,1,0,4,0,3,93,חולבות*,03/09/1997,1,1,2132,2,,,,466,,2154,2154,5697081,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/11/1988,1,99,,,,9999999,07/01/1997,,10/08/1997,0,0,2,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,105,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,07/01/1997,,,,,,,,,,,01/11/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
22.5,,1143,,0,,1,0,5,0,3,93,חולבות*,26/12/1997,1,1,2122,2,,,,486,,2154,2154,6697081,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/01/1989,1,99,,,,9999999,31/08/1997,,19/12/1997,3,2415.6,0,70.8,70.2,0,6686.7,226.7,203.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,2132,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,6389,107.3,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,31/08/1997,,,,,,,,,,,01/01/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
28.4,3274,1540,2,0,,1,0,5,0,3,93,חולבות*,26/12/1997,1,1,829,2,,,,473,,3053,3053,7697081,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/03/1989,1,99,,,,9999999,12/08/1997,,19/12/1997,4,3960.2,1,112.1,111.6,0,8345.4,252.4,252.3,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3398,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,7627,105.5,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,12/08/1997,,,,,,,,,,,01/03/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
14,,4383,,0,,1,0,6,0,3,93,חולבות*,11/05/1998,1,1,2054,2,,,,481,,2176,2176,8697081,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/1989,1,99,,,,9999999,03/04/1998,,24/04/1998,1,0,0,0,0,0,0,0,0,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,107.8,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,03/04/1998,,,,,,,,,,,01/05/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
32.1,3391,2766,2,0,10/12/1998,1,1,5,0,3,93,חולבות*,13/07/1998,1,1,2054,2,,,,493,,3059,3059,9697081,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/09/1989,4,99,,,,9999999,02/01/1998,,15/06/1998,6,7596,2,242.3,246.2,0,10158.5,327.3,329.2,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,7334,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9552,105.2,,0,,,00:00,,,,,09/03/1998,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,02/01/1998,,,,,,,,,,,01/09/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
26.3,3481,3859,2,0,,1,0,6,0,3,93,חולבות*,09/04/1999,1,1,730,2,,,,499,,2122,2122,10697081,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/1989,4,61,,,,9999999,07/12/1998,,19/03/1999,4,3302.6,3,120,117.8,0,7266.9,252.6,248.8,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3514,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,7748,113.1,,0,,,00:00,,,,,,,13/05/2015,,0,,קליטה מקובץ,,13/05/2015,07/12/1998,,,,,,,,,,,01/10/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
19.1,5449,9313,2,0,07/10/2012,1,1,1,0,3,1,חולבות,15/06/2012,1,4,5534,2,,,,1627,,5447,5447,1147,1627,926,10.8,1,137,-22.2,0.2,-0.04,-0.04,0.02,-57,-31,102,,,,,,,,,,,,,,,,,,,,,,0.3,0.985,105,01/11/2009,4,30,,,,1,23/09/2011,,11/06/2012,5,7766.9,1,315.4,254,0,10438.9,409.8,330.5,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,8175,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9159,31.4,,0,,,00:00,,,,,04/01/2012,,13/05/2015,,0,,,,13/05/2015,23/09/2011,,,,40,01/11/2009,,,,,,01/11/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
24.7,5638,61,2,0,,1,0,1,0,3,1,חולבות,11/10/2012,1,4,5420,2,,,,1628,,5412,5412,1148,1628,998,11.8,1,-1039,-37.7,-26.1,-0.01,0.06,0.06,-971,-1160,101,,,,,,,,,,,,,,,,,,,,,,-0.11,1.24,100,05/11/2009,4,90,,,,1,17/12/2011,,10/10/2012,6,8908.4,3,335.4,299.6,0,10417.7,382.4,342.9,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,9273,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9434,35.1,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,17/12/2011,,,,40,05/11/2009,,,,,,01/11/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
23,4475,63,2,1,,1,0,2,0,3,1,חולבות,24/04/2013,1,4,3903,2,,,,1629,,5447,5447,1150,1629,839,9.6,1,-520,-34.4,-18.8,-0.14,-0.02,-0.2,-644,-788,100,,,,,,,,,,,,,,,,,,,,,,-0.175,0.47,96,26/11/2009,4,61,,,,1,26/11/2012,,15/04/2013,4,3520.2,1,128.9,113.3,0,7457.1,278,238.6,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,3541,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,7637,40.8,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,26/11/2012,,,,40,26/11/2009,,,,,,01/11/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
,5476,,2,0,,1,0,4,1,3,1,חולבות,,1,4,5419,2,,,4334470,1631,,5542,5542,1152,1631,1007,40.7,2,300,1.6,6.6,-0.08,-0.02,0.03,143,228,105,,,,,,,,,,,,,,,,,,,,,,-0.195,-0.625,108,03/12/2009,,,,,,,17/12/2014,,,0,0,1,0,0,0,0,0,0,,        ,147,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,,65.1,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,17/12/2014,,,,40,03/12/2009,,,,,,01/12/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
27.8,4475,111,2,0,,1,0,2,0,3,1,חולבות,24/04/2013,1,4,3908,2,,,,1632,,5448,5448,1153,1632,842,17.4,1,-467,-15.1,-9.2,0.01,0.05,0.07,-312,-373,101,,,,,,,,,,,,,,,,,,,,,,0.41,2.635,100,26/12/2009,4,30,,,,1,17/12/2012,,15/04/2013,4,4785.8,1,184.5,154.9,0,9745.3,367.8,314,,        ,,,               ,               ,,,,,,,,,01/01/1900,,01/01/1900,,01/01/1900,,01/01/1900,,,,,,,,4916,,,,01/01/1900,01/01/1900,0,,,,,,,                                       ,,,,,,          ,9902,39.8,,0,,,00:00,,,,,,,13/05/2015,,0,,,,13/05/2015,17/12/2012,,,,40,26/12/2009,,,,,,01/12/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,, ,,,,,,,,,,
